,group,variable,value,color,text,cnp,mobile_text
59,Capitale-Nationale,  5241 Designers graphiques et illustrateurs,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,5241,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les designers graphiques et illustrateurs
60,Capitale-Nationale,  7202 Entrepreneurs et contremaîtres en électricité et en télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7202,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les entrepreneurs et contremaîtres en électricité et en télécommunications.
61,Capitale-Nationale,  7245 Monteurs de lignes et de câbles de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7245,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les monteurs de lignes et de câbles de télécommunications.
62,Capitale-Nationale,  7246 Installateurs et réparateurs de matériel de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7246,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les installateurs et réparateurs de matériel de télécommunications.
63,Capitale-Nationale,  7247 Techniciens en montage et en entretien d'installations de câblodistribution,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,7247,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens en montage et en entretien d'installations de câblodistribution.
64,Capitale-Nationale,  9222 Surveillants dans la fabrication de matériel électronique,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,9222,Les surveillants dans la fabrication de matériel électronique n'ont pas été <br>l'objet d'un diagnostic dans la région.
65,Capitale-Nationale,"  9523 Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,9523,"Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique."
66,Centre-du-Québec,  0131 Directeurs d'entreprises de télécommunications,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,131,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les directeurs d'entreprises de télécommunications.
67,Centre-du-Québec,  0213 Gestionnaires des systèmes informatiques,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,213,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les gestionnaires des systèmes informatiques.
68,Centre-du-Québec,  2133 Ingénieurs électriciens et électroniciens,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2133,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs électriciens et électroniciens.
69,Centre-du-Québec,  2147 Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2147,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel).
70,Centre-du-Québec,  2171 Analystes et consultants en informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2171,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les analystes et consultants en informatique
71,Centre-du-Québec,  2172 Analystes de bases de données et administrateurs de données,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2172,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les analystes de bases de données et administrateurs de données.
72,Centre-du-Québec,  2173 Ingénieurs et concepteurs en logiciel,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2173,Les ingénieurs et concepteurs en logiciel n'ont pas été <br>l'objet d'un diagnostic dans la région.
73,Centre-du-Québec,  2174 Programmeurs et développeurs en médias interactifs,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2174,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les programmeurs et développeurs en médias interactifs
74,Centre-du-Québec,  2175 Concepteurs et développeurs Web,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2175,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les concepteurs et développeurs web.
75,Centre-du-Québec,  2241 Technologues et techniciens en génie électronique et électrique,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2241,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les technologues et techniciens en génie électronique et électrique.
76,Centre-du-Québec,  2281 Techniciens de réseau informatique,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2281,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens de réseau informatique.
77,Centre-du-Québec,  2282 Agents de soutien aux utilisateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2282,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les agents de soutien aux utilisateurs.
78,Centre-du-Québec,  2283 Évaluateurs de systèmes informatiques,0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,2283,Les évaluateurs de systèmes informatiques n'ont pas été <br>l'objet d'un diagnostic dans la région.
79,Centre-du-Québec,"  5121 Auteurs, rédacteurs et écrivains",0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,5121,"Les auteurs, rédacteurs et écrivains n'ont pas été <br>l'objet d'un diagnostic dans la région."
80,Centre-du-Québec,  5223 Techniciens en graphisme,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5223,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens en graphisme.
81,Centre-du-Québec,  5241 Designers graphiques et illustrateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5241,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les designers graphiques et illustrateurs.
